Order Number,Sales Channel,Warehouse Code,Procured Date,Order Date,Ship Date,Delivery Date,Team ID,Team,Customer ID,Store ID,Product ID,Product,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 0001000,In-Store,WARE-NMK1003,5/16/2018,9/13/2018,9/16/2018,9/25/2018,10,Redwood Falls,27,134,36,Rear Axel,5,15%,1286.4,1099.4
SO - 0001001,Online,WARE-NMK1003,5/29/2018,9/13/2018,9/17/2018,9/22/2018,14,Worthington,46,120,42,Bumper - Front,6,20%,174.2,480.27
SO - 0001002,Distributor,WARE-MKL1006,7/2/2018,9/13/2018,9/17/2018,9/21/2018,22,Two Harbors,28,360,26,Door Handle,6,15%,5259.5,162.29
SO - 0001003,Distributor,WARE-UHY1004,7/3/2018,9/13/2018,9/19/2018,9/26/2018,22,Two Harbors,48,213,42,Bumper - Front,1,40%,6512.4,480.27
SO - 0001004,In-Store,WARE-NMK1003,6/5/2018,9/13/2018,9/17/2018,9/25/2018,9,Olivia,39,194,30,Radiator,3,7.50%,1701.8,1818.48
SO - 0001005,Online,WARE-XYS1001,7/30/2018,9/13/2018,9/19/2018,9/29/2018,17,Milaca,21,50,1,Leaf Springs,5,10%,3832.4,1028.78
SO - 0001006,Distributor,WARE-MKL1006,6/1/2018,9/13/2018,9/17/2018,9/20/2018,25,Park Rapids,38,330,6,Distributor Cap,7,15%,1775.5,129.04
SO - 0001007,Online,WARE-XYS1001,9/5/2018,9/13/2018,9/18/2018,9/24/2018,16,Austin,29,12,23,Quarter Panel - Rear,2,15%,1922.9,338.25
SO - 0001008,Wholesale,WARE-PUJ1005,5/21/2018,9/13/2018,9/17/2018,9/24/2018,26,Red Wing,23,291,5,Break Set,3,5%,891.1,537.09
SO - 0001009,In-Store,WARE-PUJ1005,5/6/2018,9/14/2018,9/16/2018,9/18/2018,2,Buffalo,3,264,43,Bumper - Rear,7,7.50%,3289.7,574.36
SO - 000101,In-Store,WARE-UHY1004,12/31/2017,5/31/2018,6/5/2018,6/14/2018,6,Elk River,15,259,12,Gear Shift Knob,5,7.50%,1963.1,98.45
SO - 0001010,Distributor,WARE-NMK1003,3/19/2018,9/14/2018,9/15/2018,9/19/2018,24,Mora,2,90,34,Ignition System,1,5%,1078.7,526.6
SO - 0001011,Wholesale,WARE-MKL1006,3/21/2018,9/14/2018,9/15/2018,9/24/2018,26,Red Wing,19,346,5,Break Set,2,5%,3886,537.09
SO - 0001012,Online,WARE-NMK1003,6/17/2018,9/14/2018,9/17/2018,9/23/2018,12,Thief River Falls,21,172,15,Seat - Front,4,5%,1681.7,353.1
SO - 0001013,Wholesale,WARE-PUJ1005,3/30/2018,9/14/2018,9/16/2018,9/22/2018,28,Montevideo,19,266,23,Quarter Panel - Rear,2,7.50%,1065.3,338.25
SO - 0001014,Distributor,WARE-NMK1003,7/11/2018,9/14/2018,9/16/2018,9/22/2018,23,Willmar,32,146,30,Radiator,7,20%,3912.8,1818.48
SO - 0001015,Online,WARE-NBV1002,6/22/2018,9/14/2018,9/17/2018,9/21/2018,18,Lichfield,9,86,30,Radiator,2,30%,3819,1818.48
SO - 0001016,Online,WARE-UHY1004,5/28/2018,9/14/2018,9/17/2018,9/24/2018,18,Lichfield,22,222,46,Trunk Carpet,5,7.50%,1025.1,91.33
SO - 0001017,Distributor,WARE-NMK1003,5/11/2018,9/14/2018,9/15/2018,9/18/2018,22,Two Harbors,8,203,43,Bumper - Rear,6,15%,3202.6,574.36
SO - 0001018,In-Store,WARE-NMK1003,7/4/2018,9/14/2018,9/19/2018,9/25/2018,11,Glenwood,49,170,22,Quarter Panel - Front,1,10%,5306.4,368.39
SO - 0001019,In-Store,WARE-UHY1004,6/30/2018,9/14/2018,9/17/2018,9/19/2018,9,Olivia,14,239,11,AC Unit,5,7.50%,1849.2,1786.59
SO - 000102,Online,WARE-NMK1003,2/3/2018,5/31/2018,6/2/2018,6/6/2018,14,Worthington,20,196,27,Door Handle Set,3,7.50%,3939.6,1403.72
SO - 0001020,Online,WARE-PUJ1005,5/25/2018,9/14/2018,9/19/2018,9/21/2018,16,Austin,3,282,16,Seat - Rear,3,10%,194.3,511.83
SO - 0001021,In-Store,WARE-XYS1001,5/12/2018,9/14/2018,9/17/2018,9/24/2018,7,Roseau,41,24,34,Ignition System,8,5%,1051.9,526.6
SO - 0001022,Online,WARE-XYS1001,3/31/2018,9/14/2018,9/20/2018,10/1/2018,18,Lichfield,36,58,29,Radiator Cap - Custom,7,10%,1809,770.71
SO - 0001023,In-Store,WARE-XYS1001,9/8/2018,9/15/2018,9/18/2018,9/25/2018,1,Granite Falls,13,37,18,Handbrake,2,15%,214.4,331.25
SO - 0001024,In-Store,WARE-XYS1001,5/14/2018,9/15/2018,9/17/2018,9/21/2018,6,Elk River,40,19,20,Door - Front,6,7.50%,3530.9,660.94
